OBJECTID,JCODE,SIKUCHOSON,買い物,コンビニ,薬局,ドラッグストア,スポーツ,カラオケ,図書館,公民館,映画,病院,市役所,警察,銀行,郵便局,美容院,飲食店,喫茶店,公園,神社,バス,駅,,買い物施設,趣味・娯楽,医療,暮らし,交通,,総合平均,総合合計
57,11346,川島町,1.728672081,3.051702162,2.212618309,0.165817962,0,0,0.580743653,1.323828711,1.571612054,0.528421054,0.161778662,0.267554229,0,0.590321875,1.023193542,2.248053007,0.910926809,1.497765204,0.829131294,6.714259501,0,,2.330997517,0.414078065,1.050016554,0.836524958,3.357129751,,1.597749369,7.988746845
58,11347,吉見町,1.261052242,2.126725018,0.744000499,0.258030995,0.023944024,0,0.352548788,1.448375698,0.258608193,0.433788762,0.304106188,0.365813909,0,1.390633736,1.300041049,1.471203796,0.138696548,0.763609578,0.510817921,10.70529279,0,,1.377259253,0.416579901,0.346198478,0.693880303,5.352646394,,1.637312866,8.186564329
59,11348,鳩山町,3.1923859,4.211524467,1.14769107,0.08665606,0.345879298,0,1.814928895,2.568281241,0.820856842,0.007024372,0.200402072,3.234591549,0,4.003971675,3.672522499,3.963701442,1.970503659,3.735444657,0.13389439,9.865833521,0,,2.850533812,0.963149099,0.413940607,2.323892438,4.932916761,,2.296886543,11.48443272
60,11349,ときがわ町,1.347880629,2.140292546,0.682051713,0.048254897,0,0,1.006534365,0.878302838,0.462868703,0.737533248,0.91051399,1.772687848,0,2.058194028,0.560034533,1.661444956,0.282882902,0,0.38916789,8.302843542,0.573842375,,1.390074963,0.38661842,0.600200975,0.848325127,4.438342959,,1.532712489,7.663562444
61,11361,横瀬町,2.659356234,2.091389133,2.89967109,0,0,0,2.154576192,0.914683515,1.146279505,0,1.023570408,0.84506995,1.296435832,2.389337608,2.44174171,3.576155285,0.100987885,0.036465373,1.260138405,7.360494012,1.09169137,,2.550138819,0.613851941,0.573139752,1.441100273,4.226092691,,1.880864695,9.404323477
62,11362,皆野町,2.615213537,3.119537267,1.137461212,0.029349345,0,0,1.75042705,1.711211539,2.810661941,2.257675752,1.649319661,1.37683969,1.760023793,2.064265803,1.827204516,1.241571887,0,0.04555908,0.661241281,7.44300731,2.919141614,,2.290737338,0.698197587,2.534168846,1.180669523,5.181074462,,2.376969551,11.88484776
63,11363,長瀞町,0.723243317,1.693303779,0,0.304822177,0,0,1.259578971,1.979625948,0,0.63421671,1.261234166,2.860186473,0,2.414352811,0.624373451,0.540839945,0,0.029710529,0.011471061,0,2.83034578,,0.805515699,0.708805419,0.317108355,0.860240937,1.41517289,,0.82136866,4.1068433
64,11365,小鹿野町,2.599078973,1.624670285,1.902804171,0,0.645522788,0,1.060012628,1.168462968,1.749219368,0,1.02030455,1.357998022,1.357779595,1.284151066,2.46003541,2.411584481,0.916530303,0.116831113,1.012191079,9.192623236,0,,2.042184476,0.574799677,0.874609684,1.326378402,4.596311618,,1.882856771,9.414283857
65,11369,東秩父村,0,0,0,0,0,0,1.36723002,0.793495882,0,0,0.982263599,1.383215914,0,1.827975227,0.41813486,0.657683683,0,0,0.170837498,7.174967534,0,,0,0.43214518,0,0.604456753,3.587483767,,0.92481714,4.624085701
66,11381,美里町,1.603540353,3.042936987,0.508180042,0.058320757,0,0,0.061557979,1.233124179,0.460714049,0.945135134,0.41187907,1.361311105,0,1.408878854,0.780760793,1.257531069,0.676070279,0.003029674,1.021078896,10.34311251,0.501660586,,1.718219127,0.270600583,0.702924592,0.76894886,5.422386548,,1.776615942,8.883079709
67,11383,神川町,2.167470634,2.00356362,0.010687416,0.019637442,0,0,0.316541225,3.17014519,0.322693845,0.038255502,0.55841708,2.511694691,0,2.796872377,1.973950067,2.395147467,0.167389869,0.736453597,0.370147199,7.128178494,0.469863214,,1.393907223,0.701264771,0.180474673,1.278896928,3.799020854,,1.47071289,7.353564449
68,11385,上里町,2.478012064,4.906839664,2.2692077,0.3999943,0.155356678,0.179295725,0.501955536,1.863270949,1.659824283,2.463931588,0.619143787,0.642741253,0.632801506,1.290475976,3.167944636,3.379434238,0.328228027,0.318085271,0.765239579,11.620614,0.397616734,,3.21801981,0.619974638,2.061877936,1.238232697,6.00911537,,2.62944409,13.14722045
69,11408,寄居町,2.406129141,3.888723217,0.3839129,0.381490872,0.089977949,0,0.467895211,1.242365588,2.017601656,1.031185043,0.429876653,1.497405958,0.88055896,1.969901123,2.60283468,1.59793218,1.279740563,1.65196729,0.697255217,3.441402587,2.680781477,,2.226255086,0.436345924,1.52439335,1.400830292,3.061092032,,1.729783337,8.648916683
70,11442,宮代町,2.680401922,4.641551803,4.243140088,0.104531348,0.630657219,0,0.804198626,1.894419041,3.496092765,1.520685091,1.368525674,2.574445061,1.308440148,3.422125204,3.361455954,5.876441801,1.41031254,0.272988659,0.967825185,11.50993878,2.097200813,,3.855031271,0.686761247,2.508388928,2.284728914,6.803569796,,3.227696031,16.13848016
71,11464,杉戸町,3.415802042,5.990433801,3.608993006,0.336811126,0.289087876,0,0.709209737,1.087745874,3.505034394,2.728326504,1.017308745,1.547264119,1.645532015,2.737523563,4.227057304,4.391624545,1.272507969,2.15322805,0.690419501,11.12576688,1.026958497,,4.338409616,0.484570923,3.116680449,2.186940646,6.076362689,,3.240592865,16.20296432
72,11465,松伏町,4.457009244,6.63339469,4.417542778,0.985728606,0.917716776,0,0.241156433,1.694292961,3.518025134,0,1.457030865,1.134277228,3.033804888,2.653865481,2.10534734,5.650509092,0,3.602796357,0.91182885,11.32560642,0,,5.169315571,0.767778955,1.759012567,2.283273345,5.662803209,,3.128436729,15.64218365
